order,button,folder,page_title,page_url,image_count,note
1,TITLEIST PRO V1 BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/01 - TITLEIST PRO V1 BOX,Titleist Pro V1 2025 Standard Play Golf Balls,https://www.pgatoursuperstore.com/pro-v1-2025-standard-play-golf-balls/2000000050258.html,9,Exact button maps to current PGA product page; folder includes product gallery imagery.
2,TITLEIST PRO V1X BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/02 - TITLEIST PRO V1X BOX,Titleist Pro V1x 2025 Standard Play Golf Balls,https://www.pgatoursuperstore.com/pro-v1x-2025-standard-play-golf-balls/2000000050261.html,9,Exact button maps to current PGA product page; folder includes product gallery imagery.
3,TITLEIST PRO V1 SLEEVE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/03 - TITLEIST PRO V1 SLEEVE,Titleist Pro V1 2025 Standard Play Golf Balls,https://www.pgatoursuperstore.com/pro-v1-2025-standard-play-golf-balls/2000000050258.html,9,No separate sleeve product page found on PGA; reused matching Pro V1 product imagery.
4,TITLEIST PRO V1X SLEEVE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/04 - TITLEIST PRO V1X SLEEVE,Titleist Pro V1x 2025 Standard Play Golf Balls,https://www.pgatoursuperstore.com/pro-v1x-2025-standard-play-golf-balls/2000000050261.html,9,No separate sleeve product page found on PGA; reused matching Pro V1x product imagery.
5,TITLEIST AVX BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/05 - TITLEIST AVX BOX,Titleist AVX 2026 Golf Balls,https://www.pgatoursuperstore.com/avx-2026-golf-balls/2000000058253.html,2,Exact/current PGA product page.
6,TITLEIST AVX SLEEVE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/06 - TITLEIST AVX SLEEVE,Titleist AVX 2026 Golf Balls,https://www.pgatoursuperstore.com/avx-2026-golf-balls/2000000058253.html,2,No separate sleeve product page found on PGA; reused matching AVX product imagery.
7,TITLEIST TOUR SPEED BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/07 - TITLEIST TOUR SPEED BOX,Reload Near Mint-Grade Titleist Tour Speed White Golf Balls - 24 Pack,https://www.pgatoursuperstore.com/near-mint-grade-titleist-tour-speed-white-golf-balls---24-pack/2000000063237.html,1,No current new-box Tour Speed product found; used closest live PGA-hosted Tour Speed imagery.
8,TITLEIST TRUFEEL BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/08 - TITLEIST TRUFEEL BOX,Titleist TruFeel 2026 Golf Balls,https://www.pgatoursuperstore.com/trufeel-2026-golf-balls/2000000058252.html,2,Exact/current PGA product page.
9,CALLAWAY CHROME SOFT BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/09 - CALLAWAY CHROME SOFT BOX,Callaway Chrome Soft White 2026 Golf Balls,https://www.pgatoursuperstore.com/chrome-soft-white-2026-golf-balls/2000000058165.html,3,Exact/current PGA product page.
10,CALLAWAY CHROME SOFT SLEEVE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/10 - CALLAWAY CHROME SOFT SLEEVE,Callaway Chrome Soft White 2026 Golf Balls,https://www.pgatoursuperstore.com/chrome-soft-white-2026-golf-balls/2000000058165.html,3,No separate sleeve product page found on PGA; reused matching Chrome Soft product imagery.
