category,subcategory,image_name,title,description,rating,price,local_path,source_page,source_image,sha256
apparel,mens,2000000059347-81-01_pc-072059d417.webp,Bennet Short Sleeve Men's Golf Polo Shirt,Product image for Bennet Short Sleeve Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000059347-81-01_pc-072059d417.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000059347-81-01_pc?$medium$&fmt=auto,072059d41782a5fd26d17123183b01b5393ff41f09f8231985469365cd48e278
apparel,mens,2000000055876-59-01_pc-e31b67db78.webp,Mcclure Men's Golf Polo Shirt,Product image for Mcclure Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000055876-59-01_pc-e31b67db78.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000055876-59-01_pc?$medium$&fmt=auto,e31b67db7860160c9e55e183e5b82d0ddb9620b3109a2c2d2d981dbb55798cdf
apparel,mens,2000000059105-280-01_pc-e26cc13f94.webp,Bellfield Men's Golf Hoodie,Product image for Bellfield Men's Golf Hoodie.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000059105-280-01_pc-e26cc13f94.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000059105-280-01_pc?$medium$&fmt=auto,e26cc13f94047a5c8ce085333beca2eb8a0a468dcbc9f3dce568e61677a3ca30
apparel,mens,2000000061923-526-01_pc-b74e872212.webp,USA Flags Sankaty Men's Golf Polo Shirt,Product image for USA Flags Sankaty Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000061923-526-01_pc-b74e872212.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000061923-526-01_pc?$medium$&fmt=auto,b74e872212fe4ea9788a150c40a7d57ed9b7372b288305f1cfb0920936eb8efe
apparel,mens,2000000054595-59-01_pc-dd5b6a8095.webp,Dri-Fit Men's Good Blade Golf Polo Shirt,Product image for Dri-Fit Men's Good Blade Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000054595-59-01_pc-dd5b6a8095.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000054595-59-01_pc?$medium$&fmt=auto,dd5b6a8095e07f9d43f58d32df98416eb26b44d6e4d24a7dd0f55f9ff8a0660e
apparel,mens,2000000055337-59-01_pc-73765b62fb.webp,Good Good Flag Men's Golf Polo Shirt,Product image for Good Good Flag Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000055337-59-01_pc-73765b62fb.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000055337-59-01_pc?$medium$&fmt=auto,73765b62fb402faf759e35ff96521b1c36ddb43d2249c6f8193e26e529a63e9e
apparel,mens,2000000060351-207-01_pc-7cc109b762.webp,Performance American Flag Sankaty Men's Golf Polo Shirt,Product image for Performance American Flag Sankaty Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000060351-207-01_pc-7cc109b762.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000060351-207-01_pc?$medium$&fmt=auto,7cc109b7625f809b58ac447a31a2657d0f39734578a31edf3bb2a82147fd9d50
apparel,mens,2000000054596-5-01_pc-599a9998dc.webp,Dri-Fit Men's Good Solid Golf Polo Shirt,Product image for Dri-Fit Men's Good Solid Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000054596-5-01_pc-599a9998dc.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000054596-5-01_pc?$medium$&fmt=auto,599a9998dcc9162efc7e9afe41273a8b8d130c55b14cf42099e2be4bfaeb232e
apparel,mens,2000000056943-38-01_pc-0949d0fcbb.webp,"Performance Cooling Flat Front Men's 8"" Golf Shorts","Product image for Performance Cooling Flat Front Men's 8"" Golf Shorts.",Not provided on source page,Not provided on source page,images/apparel/mens/2000000056943-38-01_pc-0949d0fcbb.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000056943-38-01_pc?$medium$&fmt=auto,0949d0fcbb3fea5df28456dc0e8fac803bc6ed2810ae82430e90d2fa036ae34c
apparel,mens,2000000055380-1-01_pc-64326107b6.webp,Continental Drift Men's Golf Polo Shirt,Product image for Continental Drift Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000055380-1-01_pc-64326107b6.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000055380-1-01_pc?$medium$&fmt=auto,64326107b650b1022c245629c3a9745ef50932fb6677d0ea6e5116612fcb80bb
apparel,mens,2000000054136-5-01_pc-bcf5b790db.webp,"Ultimate 365+ Men's 8.5"" Golf Shorts","Product image for Ultimate 365+ Men's 8.5"" Golf Shorts.",Not provided on source page,Not provided on source page,images/apparel/mens/2000000054136-5-01_pc-bcf5b790db.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000054136-5-01_pc?$medium$&fmt=auto,bcf5b790dba3a65cb4815e938b935958b7a15e25a37391ec34b728fe912df9b7
apparel,mens,2000000061925-84-01_pc-61e9fb4add.webp,Americana Striped Sankaty Men's Golf Polo Shirt,Product image for Americana Striped Sankaty Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000061925-84-01_pc-61e9fb4add.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000061925-84-01_pc?$medium$&fmt=auto,61e9fb4add002d6affcf01b756d76e2b624fe1a48dcd8796c85c9931f4a45832
apparel,mens,2000000059092-89-01_pc-c1dbbe2608.webp,American Flag Golf Dad Men's Golf Polo Shirt,Product image for American Flag Golf Dad Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000059092-89-01_pc-c1dbbe2608.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000059092-89-01_pc?$medium$&fmt=auto,c1dbbe26083871d545bd9d12c2d927bab78559aa1b189e6ab79f985903f1eb61
apparel,mens,2000000058046-81-01_pc-deb987f80f.webp,Airflux Men's Golf Polo Shirt,Product image for Airflux Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000058046-81-01_pc-deb987f80f.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000058046-81-01_pc?$medium$&fmt=auto,deb987f80f79b1c4eb5d6cbc8bf2470c2dff47420d1bfd6da39d8d79b709d59a
apparel,mens,2000000055381-51-01_pc-3e8e5d961e.webp,Featherweight Perf Men's Golf Polo Shirt,Product image for Featherweight Perf Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000055381-51-01_pc-3e8e5d961e.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000055381-51-01_pc?$medium$&fmt=auto,3e8e5d961efa34b6b807ce0427e2780aad193c687f56b0628660af8590ba2789
apparel,mens,2000000060401-447-01_pc-accec88311.webp,Gingham Featherweight Performance Men's Golf Polo Shirt,Product image for Gingham Featherweight Performance Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000060401-447-01_pc-accec88311.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000060401-447-01_pc?$medium$&fmt=auto,accec88311b9cf5e4a941c7da09aef04c9b7655bdd3e8b6cee756702f6664ad8
apparel,mens,2000000060405-526-01_pc-71618125f4.webp,Water Hazard Featherweight Performance Men's Golf Polo Shirt,Product image for Water Hazard Featherweight Performance Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000060405-526-01_pc-71618125f4.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000060405-526-01_pc?$medium$&fmt=auto,71618125f4ccac04c35e660c51daf952c0b625d2aa2df4f43f4febe8a765c21f
apparel,mens,2000000055336-18-01_pc-bd0c08a74e.webp,Featherweight Festival Men's Golf Polo Shirt,Product image for Featherweight Festival Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000055336-18-01_pc-bd0c08a74e.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000055336-18-01_pc?$medium$&fmt=auto,bd0c08a74e049cd1ec6330d4ba84c4f96adc1b42805bb7bd925541293e42b633
apparel,mens,2000000061647-59-01_pc-53cea94475.webp,Golf Dad Bags Men's Pocket Golf T-Shirt,Product image for Golf Dad Bags Men's Pocket Golf T-Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000061647-59-01_pc-53cea94475.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000061647-59-01_pc?$medium$&fmt=auto,53cea94475938e386a7ba5ec2faa6e59684b63fe8d26653eb544b22c9344fec6
apparel,mens,2000000054978-5-01_pc-55ac9efcbf.webp,SP26: Performance Printed Polo,Product image for SP26: Performance Printed Polo.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000054978-5-01_pc-55ac9efcbf.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000054978-5-01_pc?$medium$&fmt=auto,55ac9efcbfd75982c22c01d21aa5d09fccaddc4482a97c30b90b2eb344206b7c
apparel,mens,2000000060402-38-01_pc-787d3073aa.webp,Market Stripe Featherweight Performance Men's Golf Polo Shirt,Product image for Market Stripe Featherweight Performance Men's Golf Polo Shirt.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000060402-38-01_pc-787d3073aa.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000060402-38-01_pc?$medium$&fmt=auto,787d3073aaf552cc3f78f0b8d244c90bd4b4ede50f83073a4f5915629d6351e6
apparel,mens,2000000056944-39-01_pc-0c5dd14c6d.webp,Performance Cooling Men's Golf Quarter Zip,Product image for Performance Cooling Men's Golf Quarter Zip.,Not provided on source page,Not provided on source page,images/apparel/mens/2000000056944-39-01_pc-0c5dd14c6d.webp,https://www.pgatoursuperstore.com/golf/mens-apparel/,https://cdn.media.amplience.net/i/pgatss/2000000056944-39-01_pc?$medium$&fmt=auto,0c5dd14c6d5f205f4469405afa4cd8676d5913d35765280178a83bc0b0c6f310
